,link,id,locality,country,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace,garden,surface_land,swimming_pool,state_building,epc,public_sales,notary_sales
924,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11115036,11115036,Gent,Belgium,East Flanders,9000,410000,APARTMENT,APARTMENT,2.0,93.0,1,0,0,0.0,0.0,,0,AS_NEW,A,,
925,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119515,11119515,Namur,Belgium,Namur,5000,183000,APARTMENT,APARTMENT,1.0,44.0,1,0,0,0.0,0.0,,0,,,,
926,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11128292,11128292,Gent,Belgium,East Flanders,9000,309000,HOUSE,HOUSE,3.0,116.0,1,0,0,12.0,0.0,87.0,0,GOOD,D,,
927,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11120012,11120012,Gent,Belgium,East Flanders,9000,419000,APARTMENT,APARTMENT,3.0,140.0,1,0,0,14.0,0.0,,0,AS_NEW,,,
929,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105957,11105957,Brussels,Belgium,Brussels,1000,367000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
930,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119514,11119514,Namur,Belgium,Namur,5000,185000,APARTMENT,APARTMENT,1.0,46.0,1,0,0,0.0,0.0,,0,,,,
931,https://www.immoweb.be/en/classified/penthouse/for-sale/gent/9000/11120013,11120013,Gent,Belgium,East Flanders,9000,425000,APARTMENT,PENTHOUSE,2.0,118.0,1,0,0,11.0,0.0,,0,AS_NEW,,,
932,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105958,11105958,Brussels,Belgium,Brussels,1000,367000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
933,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119516,11119516,Namur,Belgium,Namur,5000,187000,APARTMENT,APARTMENT,1.0,47.0,1,0,0,0.0,0.0,,0,,,,
934,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119532,11119532,Namur,Belgium,Namur,5000,193000,APARTMENT,APARTMENT,1.0,44.0,1,0,0,0.0,0.0,,0,,,,
